"date","county","state","fips","cases","deaths","new_cases","week_sum"
2020-04-04,"Plymouth","Massachusetts","25023",898,8,153,626
2020-04-04,"Suffolk","Massachusetts","25025",2429,28,246,1586
2020-04-04,"Worcester","Massachusetts","25027",915,18,90,624
2020-04-05,"Barnstable","Massachusetts","25001",347,6,17,199
2020-04-05,"Berkshire","Massachusetts","25003",258,13,5,107
2020-04-05,"Bristol","Massachusetts","25005",659,8,58,451
2020-04-05,"Essex","Massachusetts","25009",1506,28,106,936
2020-04-05,"Franklin","Massachusetts","25011",100,12,5,59
2020-04-05,"Hampden","Massachusetts","25013",768,35,35,567
2020-04-05,"Hampshire","Massachusetts","25015",128,3,3,91
2020-04-05,"Middlesex","Massachusetts","25017",2632,42,164,1651
2020-04-05,"Norfolk","Massachusetts","25021",1271,27,72,723
2020-04-05,"Plymouth","Massachusetts","25023",963,10,65,638
2020-04-05,"Suffolk","Massachusetts","25025",2658,29,229,1718
2020-04-05,"Worcester","Massachusetts","25027",978,18,63,641
2020-04-06,"Barnstable","Massachusetts","25001",383,7,36,210
2020-04-06,"Berkshire","Massachusetts","25003",268,13,10,106
2020-04-06,"Bristol","Massachusetts","25005",722,8,63,459
2020-04-06,"Essex","Massachusetts","25009",1653,31,147,1000
2020-04-06,"Franklin","Massachusetts","25011",107,13,7,58
2020-04-06,"Hampden","Massachusetts","25013",889,39,121,634
2020-04-06,"Hampshire","Massachusetts","25015",147,3,19,101
2020-04-06,"Middlesex","Massachusetts","25017",2950,48,318,1809
2020-04-06,"Norfolk","Massachusetts","25021",1382,30,111,754
2020-04-06,"Plymouth","Massachusetts","25023",1067,14,104,687
2020-04-06,"Suffolk","Massachusetts","25025",2929,33,271,1814
2020-04-06,"Worcester","Massachusetts","25027",1077,19,99,687
2020-04-07,"Barnstable","Massachusetts","25001",405,10,22,214
2020-04-07,"Berkshire","Massachusetts","25003",278,18,10,107
2020-04-07,"Bristol","Massachusetts","25005",768,16,46,462
2020-04-07,"Essex","Massachusetts","25009",1841,37,188,1057
2020-04-07,"Franklin","Massachusetts","25011",118,17,11,57
2020-04-07,"Hampden","Massachusetts","25013",997,56,108,643
2020-04-07,"Hampshire","Massachusetts","25015",158,3,11,89
2020-04-07,"Middlesex","Massachusetts","25017",3187,69,237,1847
2020-04-07,"Norfolk","Massachusetts","25021",1592,36,210,854
2020-04-07,"Plymouth","Massachusetts","25023",1194,25,127,735
2020-04-07,"Suffolk","Massachusetts","25025",3245,42,316,1872
2020-04-07,"Worcester","Massachusetts","25027",1172,24,95,739
2020-04-08,"Barnstable","Massachusetts","25001",423,11,18,168
2020-04-08,"Berkshire","Massachusetts","25003",281,20,3,98
2020-04-08,"Bristol","Massachusetts","25005",835,23,67,469
2020-04-08,"Essex","Massachusetts","25009",2103,52,262,1218
2020-04-08,"Franklin","Massachusetts","25011",117,21,-1,45
2020-04-08,"Hampden","Massachusetts","25013",1081,64,84,606
2020-04-08,"Hampshire","Massachusetts","25015",164,3,6,83
2020-04-08,"Middlesex","Massachusetts","25017",3545,80,358,1963
2020-04-08,"Norfolk","Massachusetts","25021",1778,42,186,949
2020-04-08,"Plymouth","Massachusetts","25023",1327,32,133,766
2020-04-08,"Suffolk","Massachusetts","25025",3600,50,355,1976
2020-04-08,"Worcester","Massachusetts","25027",1296,30,124,733
2020-04-09,"Barnstable","Massachusetts","25001",444,12,21,161
2020-04-09,"Berkshire","Massachusetts","25003",304,21,23,91
2020-04-09,"Bristol","Massachusetts","25005",994,28,159,570
2020-04-09,"Essex","Massachusetts","25009",2336,61,233,1297
2020-04-09,"Franklin","Massachusetts","25011",128,22,11,43
2020-04-09,"Hampden","Massachusetts","25013",1276,81,195,730
2020-04-09,"Hampshire","Massachusetts","25015",177,3,13,75
2020-04-09,"Middlesex","Massachusetts","25017",4045,93,500,2175
2020-04-09,"Norfolk","Massachusetts","25021",2007,52,229,1069
2020-04-09,"Plymouth","Massachusetts","25023",1507,38,180,886
2020-04-09,"Suffolk","Massachusetts","25025",4041,56,441,2145
2020-04-09,"Worcester","Massachusetts","25027",1461,31,165,794
2020-04-10,"Barnstable","Massachusetts","25001",464,13,20,150
2020-04-10,"Berkshire","Massachusetts","25003",329,22,25,89
2020-04-10,"Bristol","Massachusetts","25005",1086,33,92,569
2020-04-10,"Essex","Massachusetts","25009",2670,80,334,1432
2020-04-10,"Franklin","Massachusetts","25011",135,22,7,46
2020-04-10,"Hampden","Massachusetts","25013",1394,88,118,733
2020-04-10,"Hampshire","Massachusetts","25015",194,4,17,80
2020-04-10,"Middlesex","Massachusetts","25017",4447,109,402,2245
2020-04-10,"Norfolk","Massachusetts","25021",2216,66,209,1171
2020-04-10,"Plymouth","Massachusetts","25023",1677,46,170,932
2020-04-10,"Suffolk","Massachusetts","25025",4534,73,493,2351
2020-04-10,"Worcester","Massachusetts","25027",1678,38,217,853
2020-04-11,"Barnstable","Massachusetts","25001",480,15,16,150
2020-04-11,"Berkshire","Massachusetts","25003",336,22,7,83
2020-04-11,"Bristol","Massachusetts","25005",1191,39,105,590
2020-04-11,"Essex","Massachusetts","25009",2896,92,226,1496
2020-04-11,"Franklin","Massachusetts","25011",138,23,3,43
2020-04-11,"Hampden","Massachusetts","25013",1545,94,151,812
2020-04-11,"Hampshire","Massachusetts","25015",204,5,10,79
2020-04-11,"Middlesex","Massachusetts","25017",4872,137,425,2404
2020-04-11,"Norfolk","Massachusetts","25021",2395,81,179,1196
2020-04-11,"Plymouth","Massachusetts","25023",1809,50,132,911
2020-04-11,"Suffolk","Massachusetts","25025",4926,81,392,2497
2020-04-11,"Worcester","Massachusetts","25027",1822,42,144,907
2020-04-12,"Barnstable","Massachusetts","25001",501,16,21,154
2020-04-12,"Berkshire","Massachusetts","25003",350,22,14,92
2020-04-12,"Bristol","Massachusetts","25005",1327,43,136,668
2020-04-12,"Essex","Massachusetts","25009",3170,102,274,1664
2020-04-12,"Franklin","Massachusetts","25011",143,25,5,43
2020-04-12,"Hampden","Massachusetts","25013",1647,104,102,879
2020-04-12,"Hampshire","Massachusetts","25015",219,6,15,91
2020-04-12,"Middlesex","Massachusetts","25017",5660,149,788,3028
2020-04-12,"Norfolk","Massachusetts","25021",2649,93,254,1378
2020-04-12,"Plymouth","Massachusetts","25023",2024,54,215,1061
2020-04-12,"Suffolk","Massachusetts","25025",5359,88,433,2701
2020-04-12,"Worcester","Massachusetts","25027",2032,49,210,1054
2020-04-13,"Barnstable","Massachusetts","25001",502,17,1,119
2020-04-13,"Berkshire","Massachusetts","25003",355,22,5,87
2020-04-13,"Bristol","Massachusetts","25005",1394,46,67,672
2020-04-13,"Essex","Massachusetts","25009",3413,114,243,1760
2020-04-13,"Franklin","Massachusetts","25011",148,25,5,41
2020-04-13,"Hampden","Massachusetts","25013",1694,115,47,805
2020-04-13,"Hampshire","Massachusetts","25015",224,6,5,77
2020-04-13,"Middlesex","Massachusetts","25017",5983,163,323,3033
2020-04-13,"Norfolk","Massachusetts","25021",2838,107,189,1456
2020-04-13,"Plymouth","Massachusetts","25023",2141,65,117,1074
2020-04-13,"Suffolk","Massachusetts","25025",5579,106,220,2650
2020-04-13,"Worcester","Massachusetts","25027",2128,51,96,1051
2020-04-14,"Barnstable","Massachusetts","25001",514,17,12,109
2020-04-14,"Berkshire","Massachusetts","25003",360,23,5,82
2020-04-14,"Bristol","Massachusetts","25005",1435,53,41,667
2020-04-14,"Essex","Massachusetts","25009",3594,126,181,1753
2020-04-14,"Franklin","Massachusetts","25011",155,25,7,37
2020-04-14,"Hampden","Massachusetts","25013",1798,134,104,801
2020-04-14,"Hampshire","Massachusetts","25015",233,6,9,75
2020-04-14,"Middlesex","Massachusetts","25017",6254,188,271,3067
2020-04-14,"Norfolk","Massachusetts","25021",2969,125,131,1377
2020-04-14,"Plymouth","Massachusetts","25023",2207,76,66,1013
2020-04-14,"Suffolk","Massachusetts","25025",5872,120,293,2627
2020-04-14,"Worcester","Massachusetts","25027",2246,57,118,1074
2020-04-15,"Barnstable","Massachusetts","25001",530,18,16,107
2020-04-15,"Berkshire","Massachusetts","25003",370,23,10,89
2020-04-15,"Bristol","Massachusetts","25005",1508,56,73,673
2020-04-15,"Essex","Massachusetts","25009",3894,141,300,1791
2020-04-15,"Franklin","Massachusetts","25011",160,25,5,43
2020-04-15,"Hampden","Massachusetts","25013",1885,153,87,804
2020-04-15,"Hampshire","Massachusetts","25015",239,6,6,75
2020-04-15,"Middlesex","Massachusetts","25017",6681,221,427,3136
2020-04-15,"Norfolk","Massachusetts","25021",3122,149,153,1344
2020-04-15,"Plymouth","Massachusetts","25023",2308,88,101,981
2020-04-15,"Suffolk","Massachusetts","25025",6279,147,407,2679
2020-04-15,"Worcester","Massachusetts","25027",2350,74,104,1054
2020-04-16,"Barnstable","Massachusetts","25001",550,18,20,106
2020-04-16,"Berkshire","Massachusetts","25003",382,26,12,78
2020-04-16,"Bristol","Massachusetts","25005",1605,63,97,611
2020-04-16,"Essex","Massachusetts","25009",4245,160,351,1909
2020-04-16,"Franklin","Massachusetts","25011",170,25,10,42
2020-04-16,"Hampden","Massachusetts","25013",1985,163,100,709
2020-04-16,"Hampshire","Massachusetts","25015",248,6,9,71
2020-04-16,"Middlesex","Massachusetts","25017",7206,258,525,3161
2020-04-16,"Norfolk","Massachusetts","25021",3342,175,220,1335
2020-04-16,"Plymouth","Massachusetts","25023",2466,92,158,959
2020-04-16,"Suffolk","Massachusetts","25025",6820,166,541,2779
2020-04-16,"Worcester","Massachusetts","25027",2503,84,153,1042
2020-04-17,"Barnstable","Massachusetts","25001",573,20,23,109
2020-04-17,"Berkshire","Massachusetts","25003",383,26,1,54
